Name of Applicant,Grant Category,Grant Amount,Grant Fiscal Year,Community Focus Combined,Community Focus: African American,Community Focus: Asian American,Community Focus: Disabled,Community Focus: Immigrant,Community Focus: L/G/B/T/Q,Community Focus: Latino American,Community Focus: Multiple People of Color,Community Focus: Native,Community Focus: Native American,Community Focus: Pacific Islander,Community Focus: Transgender,Community Focus: Women,Community Focus: No specified focus
African American Art & Culture Complex,Cultural Center,307055.00,01/01/2004 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,,false
AfroSolo Theatre Company,Organization Project Grant (OPG),11250.00,01/01/2004 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,,false
Bayview Opera House Ruth Williams Memorial Theater,Cultural Center,234825.00,01/01/2004 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,,false
Blues and R&B Music Foundation,Special Project Grants (SPG),1000.00,01/01/2004 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,,false
Robert Moses’ Kin,Cultural Equity Initiative-Level 1 (CEI_L1),18000.00,01/01/2004 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,,false
San Francisco Black Film Festival,Cultural Equity Initiative-Level 1 (CEI_L1),18000.00,01/01/2004 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,,false
ZACCHO Dance Theatre,Organization Project Grant (OPG),15000.00,01/01/2004 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,,false
Rhodessa Jones,Individual Artist Commission (IAC),10000.00,01/01/2004 12:00:00 AM,"African American
Women",true,false,false,false,false,false,false,false,false,false,true,,false
Shanique Scott-T Scott-Tyehimba,Individual Artist Commission (IAC),10000.00,01/01/2004 12:00:00 AM,"African American
Women",true,false,false,false,false,false,false,false,false,false,true,,false
3rd i South Asian Independent Film Festival,Organization Project Grant (OPG),12500.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Arab Film Festival,Organization Project Grant (OPG),15000.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Asian Pacific Islander Cultural Center,Cultural Center,84847.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Asian Pacific Islander Cultural Center,Organization Project Grant (OPG),11250.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Center for Asian American Media,Creative Space (CRSP),15000.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Chhandam Chitresh Das Dance Company,Cultural Equity Initiative-Level 1 (CEI_L1),18000.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Chinese Cultural Productions,Organization Project Grant (OPG),10500.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Eth-Noh-Tec,Cultural Equity Initiative-Level 1 (CEI_L1),18000.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
First Voice,Cultural Equity Initiative-Level 1 (CEI_L1),18000.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Gang Situ,Individual Artist Commission (IAC),10000.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Genryu Arts,Organization Project Grant (OPG),11250.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Golden Thread Productions,Cultural Equity Initiative-Level 1 (CEI_L1),18000.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Hua Yi Performing Group,Special Project Grants (SPG),1000.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Kulintang Arts Inc.,Cultural Equity Initiative-Level 1 (CEI_L1),18000.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
National Japanese American Historical Society,Cultural Equity Initiative-Level 1 (CEI_L1),18000.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
"Northern California Music and Art Culture Center, Inc.",Organization Project Grant (OPG),10500.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
